shot_id,name,period,hand,goal,pos
2019020313_270,A. Athanasiou,4,L,False,LW
2019020313_280,A. Athanasiou,4,L,False,LW
2019020694_340,A. Beauvillier,4,L,False,C
2019020321_381,A. Beauvillier,4,L,False,C
2019020665_321,A. Beauvillier,4,L,False,C
2019021041_294,A. Kempe,4,L,False,LW
2019021060_291,A. Killorn,4,L,False,LW
2019021060_293,A. Killorn,4,L,False,LW
2019021041_291,A. Kopitar,4,L,False,C
2019021041_300,A. Kopitar,4,L,False,C
2019020321_383,A. Lee,4,L,False,LW
2019020665_324,A. Lee,4,L,True,LW
2019020313_267,A. Mantha,4,L,False,RW
2019021041_301,A. Matthews,4,L,False,C
2019020839_345,A. Matthews,4,L,False,C
2019020023_323,A. Ovechkin,4,R,False,LW
2019020023_322,A. Ovechkin,4,R,False,LW
2019020154_351,A. Ovechkin,4,R,False,LW
2019030002_330,A. Ovechkin,4,R,False,LW
2019020297_319,A. Pietrangelo,4,R,False,D
2019020297_313,A. Pietrangelo,4,R,False,D
2019021077_368,B. Horvat,4,L,False,C
2019020711_338,B. Marchand,4,L,False,LW
2019020694_342,B. Marchand,4,L,False,LW
2019021077_367,B. Nelson,4,L,False,C
2019020321_395,B. Nelson,4,L,True,C
2019020321_394,B. Nelson,4,L,False,C
2019020665_322,B. Nelson,4,L,False,C
2019020368_350,B. Rust,4,R,False,RW
2019020786_283,B. Rust,4,R,False,RW
2019020490_309,B. Rust,4,R,True,RW
2019020368_349,B. Rust,4,R,False,RW
2019020297_322,C. Atkinson,4,R,False,RW
2019020321_391,C. Cizikas,4,L,False,C
2019020711_339,C. Coyle,4,R,False,C
2019020267_328,C. Giroux,4,R,False,C
2019020711_346,C. McAvoy,4,R,False,D
2019020267_313,C. McAvoy,4,R,False,D
2019021041_303,D. Brown,4,R,False,RW
2019021041_285,D. Doughty,4,R,False,D
2019020031_344,D. Hamilton,4,R,False,D
2019020711_337,D. Krejci,4,R,False,C
2019020313_261,D. Larkin,4,L,False,C
2019021060_294,D. Larkin,4,L,False,C
2019020313_284,D. Larkin,4,L,False,C
2019021060_295,D. Larkin,4,L,False,C
2019020023_324,D. Orlov,4,L,False,D
2019020267_316,D. Pastrnak,4,R,False,RW
2019020267_315,D. Pastrnak,4,R,False,RW
2019020545_357,E. Lindholm,4,R,False,C
2019021060_287,G. Lindstrom,4,R,False,D
2019030002_340,I. Kovalchuk,4,R,False,RW
2019020711_349,I. Provorov,4,L,False,D
2019020908_278,J. Archibald,4,R,True,RW
2019020545_346,J. Armia,4,R,False,RW
2019020665_317,J. Boqvist,4,L,False,C
2019020665_316,J. Boqvist,4,L,False,C
2019020023_317,J. Carlson,4,R,False,D
2019020023_319,J. Carlson,4,R,False,D
2019020023_314,J. Carlson,4,R,False,D
2019021077_372,J. Eberle,4,R,False,C
2019020665_319,J. Eberle,4,R,False,C
2019020023_331,J. Gardiner,4,L,True,D
2019020031_350,J. Gardiner,4,L,False,D
2019020368_357,J. Gaudreau,4,L,False,LW
2019020471_307,J. Gaudreau,4,L,False,LW
2019020368_361,J. Guentzel,4,L,True,C
2019020839_332,J. Holl,4,R,False,D
2019020368_356,J. Marino,4,R,False,D
2019020242_335,J. Pageau,4,R,True,C
2019020242_334,J. Pageau,4,R,False,C
2019020545_342,J. Petry,4,R,False,D
2019020490_308,J. Schultz,4,R,False,D
2019020031_355,J. Slavin,4,L,True,D
2019020839_330,J. Tavares,4,L,False,C
2019021041_275,J. Tavares,4,L,False,C
2019020839_346,J. Tavares,4,L,True,C
2019020438_345,J. Toews,4,L,True,C
2019020711_332,J. Voracek,4,L,False,RW
2019030002_335,J. Vrana,4,L,False,LW
2019020023_330,J. Vrana,4,L,False,LW
2019020490_301,K. Letang,4,R,False,D
2019020154_353,L. Draisaitl,4,L,True,C
2019020368_351,M. Backlund,4,L,False,C
2019020368_352,M. Backlund,4,L,False,C
2019020368_355,M. Backlund,4,L,False,C
2019020545_352,M. Backlund,4,L,False,C
2019021077_369,M. Barzal,4,R,False,C
2019020545_349,M. Domi,4,L,False,LW
2019020545_351,M. Domi,4,L,False,LW
2019020545_358,M. Domi,4,L,True,LW
2019021041_289,M. Frk,4,R,False,RW
2019020545_347,M. Giordano,4,L,False,D
2019020908_277,M. Necas,4,R,False,C
2019020908_270,M. Necas,4,R,False,C
2019020471_309,M. Rantanen,4,L,False,RW
2019021041_292,M. Roy,4,R,False,D
2019020023_311,N. Backstrom,4,L,False,C
2019020154_352,N. Backstrom,4,L,False,C
2019020023_327,N. Jensen,4,R,False,D
2019021060_299,N. Kucherov,4,L,False,RW
2019020694_345,P. Bergeron,4,R,False,C
2019020694_349,P. Bergeron,4,R,True,C
2019020665_313,P. Zacha,4,L,False,C
2019021077_382,Q. Hughes,4,L,False,D
2019021060_288,R. Fabbri,4,L,False,C
2019021060_302,R. Fabbri,4,L,False,C
2019030002_338,R. McDonagh,4,L,False,D
2019021060_298,R. McDonagh,4,L,False,D
2019030002_336,R. McDonagh,4,L,False,D
2019021060_290,R. McDonagh,4,L,False,D
2019020297_314,R. O'Reilly,4,L,False,C
2019021077_379,R. Pulock,4,R,False,D
2019020908_274,S. Aho,4,L,False,RW
2019020908_275,S. Aho,4,L,False,RW
2019020711_348,S. Couturier,4,L,False,C
2019020711_329,S. Couturier,4,L,False,C
2019020786_284,S. Crosby,4,L,True,C
2019020297_308,S. Jones,4,R,False,D
2019020368_360,S. Monahan,4,L,False,C
2019020471_311,S. Monahan,4,L,True,C
2019020665_320,S. Vatanen,4,R,False,D
